Running 04_13_19_AttentionLSTMSkipConnection_many2many_128_128layers_lstm
Runnning in conda env cs478project
Using TensorFlow backend.
2019-04-13 20:34:24.786047: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
2019-04-13 20:34:24.845808: E tensorflow/stream_executor/cuda/cuda_driver.cc:406] failed call to cuInit: CUDA_ERROR_UNKNOWN
2019-04-13 20:34:24.845878: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (c0913.crane.hcc.unl.edu): /proc/driver/nvidia/version does not exist

Number of unique characters in our whole tunes database = 67

Model choice: AttentionLSTMSkipConnection
__________________________________________________________________________________________________
Layer (type)                    Output Shape         Param #     Connected to                     
==================================================================================================
input (InputLayer)              (16, 64)             0                                            
__________________________________________________________________________________________________
embedding (Embedding)           (16, 64, 256)        17152       input[0][0]                      
__________________________________________________________________________________________________
drop_layer1 (Dropout)           (16, 64, 256)        0           embedding[0][0]                  
__________________________________________________________________________________________________
lstm_layer1 (LSTM)              (16, 64, 128)        197120      drop_layer1[0][0]                
__________________________________________________________________________________________________
lstm_layer2 (LSTM)              (16, 64, 128)        131584      lstm_layer1[0][0]                
__________________________________________________________________________________________________
rnn_concat (Concatenate)        (16, 64, 512)        0           embedding[0][0]                  
                                                                 lstm_layer1[0][0]                
                                                                 lstm_layer2[0][0]                
__________________________________________________________________________________________________
time_distributed_1 (TimeDistrib (16, 64, 67)         34371       rnn_concat[0][0]                 
==================================================================================================
Total params: 380,227
Trainable params: 380,227
Non-trainable params: 0
__________________________________________________________________________________________________

 None
Total number of characters = 83542
Epoch 1/130
Batch: 1, Loss: 4.20338773727417, Accuracy: 0.0048828125
Batch: 2, Loss: 4.186864376068115, Accuracy: 0.0419921875
Batch: 3, Loss: 4.164981842041016, Accuracy: 0.1220703125
Batch: 4, Loss: 4.139695644378662, Accuracy: 0.23046875
Batch: 5, Loss: 4.10227632522583, Accuracy: 0.2080078125
Batch: 6, Loss: 4.038763046264648, Accuracy: 0.2060546875
Batch: 7, Loss: 3.934446334838867, Accuracy: 0.212890625
Batch: 8, Loss: 3.7635750770568848, Accuracy: 0.2060546875
Batch: 9, Loss: 3.5242414474487305, Accuracy: 0.201171875
Batch: 10, Loss: 3.325559139251709, Accuracy: 0.185546875
Batch: 11, Loss: 3.1957969665527344, Accuracy: 0.1845703125
Batch: 12, Loss: 3.1781678199768066, Accuracy: 0.19140625
Batch: 13, Loss: 3.2109954357147217, Accuracy: 0.1591796875
Batch: 14, Loss: 3.054598331451416, Accuracy: 0.1689453125
Batch: 15, Loss: 2.9823029041290283, Accuracy: 0.1943359375
Batch: 16, Loss: 3.010958671569824, Accuracy: 0.1728515625
Batch: 17, Loss: 2.9795753955841064, Accuracy: 0.2529296875
Batch: 18, Loss: 2.936436176300049, Accuracy: 0.2421875
Batch: 19, Loss: 2.8900184631347656, Accuracy: 0.248046875
Batch: 20, Loss: 3.0746498107910156, Accuracy: 0.26953125
Batch: 21, Loss: 3.14158296585083, Accuracy: 0.2734375
Batch: 22, Loss: 3.0458643436431885, Accuracy: 0.224609375
Batch: 23, Loss: 2.983125925064087, Accuracy: 0.212890625
Batch: 24, Loss: 2.91640567779541, Accuracy: 0.1826171875
Batch: 25, Loss: 3.067605495452881, Accuracy: 0.1650390625
Batch: 26, Loss: 2.9509682655334473, Accuracy: 0.1630859375
Batch: 27, Loss: 3.0470244884490967, Accuracy: 0.1640625
Batch: 28, Loss: 2.905571460723877, Accuracy: 0.1884765625
Batch: 29, Loss: 2.905982494354248, Accuracy: 0.1865234375
Batch: 30, Loss: 2.8469905853271484, Accuracy: 0.18359375
Batch: 31, Loss: 2.8175711631774902, Accuracy: 0.1923828125
Batch: 32, Loss: 2.833649158477783, Accuracy: 0.1962890625
Batch: 33, Loss: 2.8044421672821045, Accuracy: 0.197265625
Batch: 34, Loss: 2.7661476135253906, Accuracy: 0.1953125
Batch: 35, Loss: 2.83748197555542, Accuracy: 0.185546875
Batch: 36, Loss: 2.7918148040771484, Accuracy: 0.185546875
Batch: 37, Loss: 2.8849575519561768, Accuracy: 0.1767578125
Batch: 38, Loss: 2.8932368755340576, Accuracy: 0.177734375
Batch: 39, Loss: 2.8798580169677734, Accuracy: 0.1826171875
Batch: 40, Loss: 2.8536746501922607, Accuracy: 0.169921875
Batch: 41, Loss: 2.767158269882202, Accuracy: 0.1953125
Batch: 42, Loss: 2.840535879135132, Accuracy: 0.18359375
Batch: 43, Loss: 2.815927028656006, Accuracy: 0.1865234375
Batch: 44, Loss: 2.806818962097168, Accuracy: 0.201171875
Batch: 45, Loss: 2.8133745193481445, Accuracy: 0.185546875
Batch: 46, Loss: 2.7533366680145264, Accuracy: 0.2060546875
Batch: 47, Loss: 2.7051219940185547, Accuracy: 0.2021484375
Batch: 48, Loss: 2.6796813011169434, Accuracy: 0.203125
Batch: 49, Loss: 2.7041711807250977, Accuracy: 0.2216796875
Batch: 50, Loss: 2.712857246398926, Accuracy: 0.2265625
Batch: 51, Loss: 2.634517192840576, Accuracy: 0.244140625
Batch: 52, Loss: 2.655996084213257, Accuracy: 0.24609375
Batch: 53, Loss: 2.647327423095703, Accuracy: 0.25
Batch: 54, Loss: 2.6086392402648926, Accuracy: 0.2890625
Batch: 55, Loss: 2.6535420417785645, Accuracy: 0.2578125
Batch: 56, Loss: 2.5421302318573, Accuracy: 0.2783203125
Batch: 57, Loss: 2.569509267807007, Accuracy: 0.2978515625
Batch: 58, Loss: 2.5262644290924072, Accuracy: 0.29296875
Batch: 59, Loss: 2.610262632369995, Accuracy: 0.279296875
Batch: 60, Loss: 2.631122589111328, Accuracy: 0.2861328125
Batch: 61, Loss: 2.6052796840667725, Accuracy: 0.275390625
Batch: 62, Loss: 2.6791348457336426, Accuracy: 0.279296875
Batch: 63, Loss: 2.608226776123047, Accuracy: 0.3046875
Batch: 64, Loss: 2.603311538696289, Accuracy: 0.302734375
Batch: 65, Loss: 2.6090805530548096, Accuracy: 0.2978515625
Batch: 66, Loss: 2.529017925262451, Accuracy: 0.3203125
Batch: 67, Loss: 2.566624164581299, Accuracy: 0.296875
Batch: 68, Loss: 2.5202085971832275, Accuracy: 0.298828125
Batch: 69, Loss: 2.4556407928466797, Accuracy: 0.3125
Batch: 70, Loss: 2.5165038108825684, Accuracy: 0.298828125
Batch: 71, Loss: 2.527348518371582, Accuracy: 0.314453125
Batch: 72, Loss: 2.516897201538086, Accuracy: 0.291015625
Batch: 73, Loss: 2.4567480087280273, Accuracy: 0.3154296875
Batch: 74, Loss: 2.407325267791748, Accuracy: 0.310546875
Batch: 75, Loss: 2.4331893920898438, Accuracy: 0.3408203125
Batch: 76, Loss: 2.4535579681396484, Accuracy: 0.3037109375
Batch: 77, Loss: 2.4791855812072754, Accuracy: 0.318359375
Batch: 78, Loss: 2.470644950866699, Accuracy: 0.298828125
Batch: 79, Loss: 2.503920555114746, Accuracy: 0.3203125
Batch: 80, Loss: 2.4336981773376465, Accuracy: 0.30859375
Batch: 81, Loss: 2.385810375213623, Accuracy: 0.337890625
Epoch 2/130
Batch: 1, Loss: 2.3705787658691406, Accuracy: 0.33203125
Batch: 2, Loss: 2.3827786445617676, Accuracy: 0.3291015625
Batch: 3, Loss: 2.2964212894439697, Accuracy: 0.3271484375
Batch: 4, Loss: 2.326788902282715, Accuracy: 0.33984375
Batch: 5, Loss: 2.2859973907470703, Accuracy: 0.3330078125
Batch: 6, Loss: 2.237849235534668, Accuracy: 0.34765625
Batch: 7, Loss: 2.186028003692627, Accuracy: 0.333984375
Batch: 8, Loss: 2.233175754547119, Accuracy: 0.3193359375
Batch: 9, Loss: 2.2944633960723877, Accuracy: 0.3232421875
Batch: 10, Loss: 2.3419790267944336, Accuracy: 0.322265625
Batch: 11, Loss: 2.2988128662109375, Accuracy: 0.337890625
Batch: 12, Loss: 2.3357558250427246, Accuracy: 0.3203125
Batch: 13, Loss: 2.4315133094787598, Accuracy: 0.32421875
Batch: 14, Loss: 2.369939088821411, Accuracy: 0.3232421875
Batch: 15, Loss: 2.2617602348327637, Accuracy: 0.353515625
Batch: 16, Loss: 2.3462095260620117, Accuracy: 0.3427734375
Batch: 17, Loss: 2.3215689659118652, Accuracy: 0.3369140625
Batch: 18, Loss: 2.260097026824951, Accuracy: 0.3447265625
Batch: 19, Loss: 2.1537065505981445, Accuracy: 0.3662109375
Batch: 20, Loss: 2.312826156616211, Accuracy: 0.3779296875
Batch: 21, Loss: 2.4428186416625977, Accuracy: 0.376953125
Batch: 22, Loss: 2.352048635482788, Accuracy: 0.357421875
Batch: 23, Loss: 2.3524160385131836, Accuracy: 0.3466796875
Batch: 24, Loss: 2.302752733230591, Accuracy: 0.3486328125
Batch: 25, Loss: 2.3796777725219727, Accuracy: 0.3388671875
Batch: 26, Loss: 2.3017258644104004, Accuracy: 0.3466796875
Batch: 27, Loss: 2.42293643951416, Accuracy: 0.3193359375
Batch: 28, Loss: 2.2392401695251465, Accuracy: 0.35546875
Batch: 29, Loss: 2.2569427490234375, Accuracy: 0.3544921875
Batch: 30, Loss: 2.201854944229126, Accuracy: 0.3525390625
Batch: 31, Loss: 2.0739755630493164, Accuracy: 0.3955078125
Batch: 32, Loss: 2.113826036453247, Accuracy: 0.3896484375
Batch: 33, Loss: 2.0512499809265137, Accuracy: 0.3828125
Batch: 34, Loss: 1.9795310497283936, Accuracy: 0.412109375
Batch: 35, Loss: 2.079981565475464, Accuracy: 0.392578125
Batch: 36, Loss: 2.0826058387756348, Accuracy: 0.3916015625
Batch: 37, Loss: 2.176083564758301, Accuracy: 0.388671875
Batch: 38, Loss: 2.1805660724639893, Accuracy: 0.38671875
Batch: 39, Loss: 2.1924638748168945, Accuracy: 0.3818359375
Batch: 40, Loss: 2.1283488273620605, Accuracy: 0.3798828125
Batch: 41, Loss: 2.0251526832580566, Accuracy: 0.3955078125
Batch: 42, Loss: 2.1124074459075928, Accuracy: 0.3857421875
Batch: 43, Loss: 2.1105141639709473, Accuracy: 0.404296875
Batch: 44, Loss: 2.1407055854797363, Accuracy: 0.41796875
Batch: 45, Loss: 2.131722927093506, Accuracy: 0.3876953125
Batch: 46, Loss: 2.051140308380127, Accuracy: 0.408203125
Batch: 47, Loss: 1.990631103515625, Accuracy: 0.408203125
Batch: 48, Loss: 1.9905165433883667, Accuracy: 0.4091796875
Batch: 49, Loss: 1.9842703342437744, Accuracy: 0.4267578125
Batch: 50, Loss: 2.020042657852173, Accuracy: 0.4091796875
